File Formats
AIFF
Batch File
Bitmap
BMP
CDFS
DLL
eBook
EXIF
GIF
JPEG
JSON
MP3
MPEG
Page Layout
PDF
PNG
PostScript
Raster Graphic
Raw File
RTF
TIFF
Torrent
Vector Graphic
WAVE
Zip
