Bits and Bytes
Bandwidth
Baud
Bit
Bitrate
Blob
bps
Byte
CLOB
Data
Data Transfer Rate
Exabyte
Exbibyte
Gbps
Gibibyte
Gigabyte
Goodput
Heap
Kbps
Kibibyte
Kilobyte
Mbps
Mebibyte
Megabyte
MTU
Null Character
Nybble
Pebibyte
Petabyte
Petaflops
Record
String
Tebibyte
Terabyte
Teraflops
Unicode
UTF
Yobibyte
Yottabyte
Zebibyte
Zettabyte
